"Id","Age","Job","Marital","Education","Default","Balance","HHInsurance","CarLoan","Communication","LastContactDay","LastContactMonth","NoOfContacts","DaysPassed","PrevAttempts","Outcome","CallStart","CallEnd","CarInsurance"
56,39,"services","married","secondary",0,52,0,0,"telephone",2,"feb",3,-1,0,NA,"16:04:36","16:28:16",1
57,31,"admin.","married","secondary",0,457,1,0,"cellular",21,"nov",1,171,5,"failure","14:28:33","14:33:16",0
58,46,"entrepreneur","divorced","secondary",0,1187,0,1,"cellular",13,"oct",1,327,1,"failure","17:42:06","17:43:38",0
59,34,"management","single",NA,0,6013,1,0,"cellular",18,"may",1,-1,0,NA,"13:52:00","14:02:12",1
60,52,"unemployed","married","secondary",0,5091,0,0,"cellular",26,"may",1,-1,0,NA,"12:25:24","12:30:33",0
61,36,"management","divorced","tertiary",0,0,0,0,"cellular",28,"aug",4,-1,0,NA,"15:13:44","15:15:05",0
62,39,"entrepreneur","married","secondary",0,11887,0,0,"cellular",18,"nov",2,-1,0,NA,"16:56:27","17:16:08",1
63,18,"student","single","primary",0,608,0,0,"cellular",12,"aug",1,-1,0,NA,"13:30:30","13:34:57",1
64,60,"services","married","secondary",0,-46,0,0,NA,23,"may",2,-1,0,NA,"16:36:39","16:38:51",0
65,36,"services","single","secondary",0,0,1,0,"cellular",15,"may",4,-1,0,NA,"09:43:23","10:00:05",1
66,57,"management","married","tertiary",0,473,0,0,"cellular",1,"jun",1,-1,0,NA,"14:55:01","14:59:56",1
67,28,"blue-collar","single","secondary",0,1955,0,0,"cellular",29,"jan",1,-1,0,NA,"12:28:55","12:29:20",0
68,30,"management","married","tertiary",0,860,1,0,"cellular",20,"apr",1,-1,0,NA,"10:53:09","10:56:14",0
69,41,"blue-collar","married","secondary",0,2689,1,0,"cellular",15,"apr",1,-1,0,NA,"17:24:03","17:26:18",1
70,58,"management","married","tertiary",0,3768,1,0,NA,18,"jun",1,-1,0,NA,"17:14:32","17:19:48",0
71,23,"housemaid","married","tertiary",0,66,1,0,"cellular",7,"may",2,-1,0,NA,"09:25:35","09:48:46",1
72,29,"admin.","married","secondary",0,494,1,0,NA,26,"may",2,-1,0,NA,"14:51:53","14:57:34",0
73,25,"technician","single","secondary",0,1298,0,0,"cellular",2,"sep",7,94,2,"other","14:02:27","14:05:53",0
74,39,"blue-collar","married","secondary",0,0,1,0,NA,29,"may",3,-1,0,NA,"13:50:30","13:53:59",0
75,45,"technician","divorced","tertiary",0,0,0,0,"cellular",27,"aug",4,-1,0,NA,"17:29:40","17:30:38",0
76,55,"technician","divorced","secondary",0,3450,0,0,"cellular",10,"feb",1,183,1,"failure","13:29:13","13:32:02",1
77,32,"technician","married","tertiary",0,903,1,0,"cellular",23,"jun",1,320,1,"other","11:55:36","11:58:37",0
78,36,"management","married","tertiary",0,722,1,0,NA,30,"may",1,-1,0,NA,"13:20:59","13:26:11",0
79,34,"management","single","tertiary",0,11350,1,0,"cellular",15,"may",1,176,1,"failure","15:14:20","15:16:53",0
80,39,"technician","single","secondary",0,556,1,0,NA,29,"may",1,-1,0,NA,"15:54:02","15:59:24",0
81,49,"admin.","single","secondary",0,716,1,0,NA,15,"may",3,-1,0,NA,"11:50:19","12:11:16",1
82,37,"technician","married","tertiary",0,143,0,0,"cellular",27,"aug",6,-1,0,NA,"09:17:05","09:18:02",0
83,47,"blue-collar","married","secondary",0,802,1,1,"cellular",12,"may",2,-1,0,NA,"14:56:02","15:00:51",1
84,49,"retired","single","primary",0,25824,0,0,NA,17,"jun",1,-1,0,NA,"10:54:42","10:56:16",0
85,49,"unemployed","married","primary",0,518,0,0,"cellular",29,"jan",2,-1,0,NA,"09:49:16","10:21:13",1
86,34,"admin.","divorced","secondary",0,0,0,0,"cellular",10,"jul",1,-1,0,NA,"17:50:22","17:54:50",0
87,40,"blue-collar","married","secondary",1,-94,1,1,NA,7,"may",1,-1,0,NA,"11:24:19","11:28:06",0
88,33,"services","married","secondary",0,210,1,0,"cellular",13,"may",2,-1,0,NA,"11:48:53","12:09:00",1
89,40,"admin.","single","secondary",0,60,1,0,"cellular",15,"may",3,352,6,"other","16:43:03","16:50:43",0
90,41,"entrepreneur","single","secondary",0,663,0,0,"cellular",24,"jul",1,-1,0,NA,"10:52:25","11:12:29",1
91,56,"management","married","tertiary",0,830,1,1,NA,6,"may",1,-1,0,NA,"17:54:01","18:14:02",1
92,33,"blue-collar","single","secondary",0,-147,1,0,NA,30,"may",2,-1,0,NA,"16:00:27","16:11:19",0
93,43,"blue-collar","divorced","primary",0,6,1,0,NA,27,"may",4,-1,0,NA,"12:01:04","12:02:56",0
94,46,"services","divorced","secondary",0,1263,1,0,"telephone",21,"nov",2,-1,0,NA,"14:35:34","14:39:14",0
95,39,"blue-collar","married","secondary",0,293,1,0,NA,23,"may",3,-1,0,NA,"14:48:50","14:51:30",0
96,44,"management","married","tertiary",0,446,0,0,"cellular",25,"jul",12,-1,0,NA,"09:29:22","09:30:25",0
97,48,"management","divorced","tertiary",0,657,0,1,"cellular",29,"jan",2,-1,0,NA,"16:59:18","17:03:29",0
98,39,"blue-collar","single","tertiary",0,48,0,0,"cellular",3,"jun",1,-1,0,NA,"14:55:41","15:04:40",1
99,46,"blue-collar","married","primary",0,3969,0,0,"telephone",7,"jul",5,-1,0,NA,"12:42:06","12:42:52",0
100,19,"student","single","primary",0,103,0,0,"cellular",18,"jan",2,95,4,"failure","12:07:08","12:10:05",0
101,36,"management","married","tertiary",0,753,0,0,"cellular",16,"apr",4,-1,0,NA,"14:01:15","14:02:31",0
102,43,"technician","married","secondary",0,3285,1,0,NA,13,"may",2,-1,0,NA,"11:00:26","11:29:07",1
103,46,"technician","married","secondary",0,9299,0,0,"cellular",19,"jul",1,276,2,"other","15:58:44","16:17:52",1
104,56,"retired","married","primary",0,9367,0,0,"cellular",4,"may",2,-1,0,NA,"15:33:30","15:43:47",1
105,57,"management","married","secondary",0,7162,0,0,"cellular",17,"nov",1,-1,0,NA,"09:04:38","09:06:01",0
106,33,"technician","married","tertiary",0,1699,0,0,"cellular",4,"aug",1,-1,0,NA,"17:40:32","17:50:32",1
107,41,"admin.","married","secondary",0,437,1,0,"cellular",2,"feb",1,-1,0,NA,"15:36:46","15:39:04",0
108,31,"management","married","tertiary",0,69,0,0,"cellular",20,"aug",2,-1,0,NA,"10:53:20","10:56:35",0
109,52,"management","married","tertiary",0,388,0,0,"cellular",25,"may",1,-1,0,NA,"10:43:50","10:48:22",1
110,48,"blue-collar","single","secondary",0,339,0,1,"telephone",14,"jul",4,-1,0,NA,"09:09:36","09:11:39",0
111,55,"blue-collar","married","secondary",0,49,1,0,"cellular",7,"jul",4,-1,0,NA,"13:53:23","14:01:37",1
112,50,"technician","married","secondary",0,3370,0,0,"cellular",2,"jun",2,-1,0,NA,"09:39:02","09:41:42",1
113,33,"blue-collar","single","secondary",0,-366,1,0,NA,28,"may",4,-1,0,NA,"12:21:46","12:23:07",0
114,31,"management","married","tertiary",0,2667,1,0,"cellular",2,"mar",2,-1,0,NA,"15:56:53","15:58:06",0
115,33,"admin.","married","tertiary",0,899,1,0,NA,26,"may",3,-1,0,NA,"13:13:32","13:16:11",0
116,31,"management","married","tertiary",0,1331,0,0,"cellular",30,"apr",1,86,3,"success","10:34:28","10:39:25",1
117,37,"services","married","secondary",0,4151,1,1,"cellular",30,"jul",4,-1,0,NA,"16:23:41","16:32:44",1
118,62,"retired","married","secondary",0,569,0,0,"cellular",4,"feb",5,184,1,"success","17:49:48","17:51:22",1
119,33,"management","married","tertiary",0,1514,0,0,"cellular",10,"aug",1,728,2,"failure","14:38:11","14:45:38",1
120,40,"management","married","tertiary",1,0,0,0,"cellular",28,"jul",5,-1,0,NA,"13:33:23","13:36:08",0
121,37,"technician","single","tertiary",0,6101,0,0,"cellular",6,"feb",1,-1,0,NA,"11:44:15","11:46:36",1
122,46,"management","divorced","tertiary",0,461,0,0,"cellular",30,"dec",2,-1,0,NA,"10:08:32","10:14:41",1
123,64,"entrepreneur","married","tertiary",0,2331,0,0,"telephone",9,"nov",1,-1,0,NA,"13:54:34","13:57:55",1
124,43,"unemployed","married","primary",0,519,0,0,NA,20,"jun",2,-1,0,NA,"14:40:48","14:57:01",1
125,57,"blue-collar","married","primary",0,3109,0,0,"cellular",15,"sep",2,105,2,"success","16:20:13","16:22:00",1
126,58,"retired","divorced","primary",0,11,0,1,"cellular",10,"jul",5,-1,0,NA,"09:10:06","09:12:47",0
127,32,"technician","divorced","tertiary",0,53,0,0,"cellular",22,"aug",2,-1,0,NA,"15:18:48","15:29:59",1
128,43,"blue-collar","married","secondary",0,699,1,1,"cellular",20,"nov",2,122,2,"other","12:28:18","12:49:16",1
129,30,"student","single","tertiary",0,3300,0,0,"cellular",21,"nov",1,-1,0,NA,"09:39:08","10:05:19",1
130,45,"admin.","married","secondary",0,251,1,0,"cellular",19,"aug",2,-1,0,NA,"12:58:37","13:00:19",0
131,56,"management","married","tertiary",0,318,0,1,"telephone",9,"jul",3,-1,0,NA,"09:00:50","09:04:56",0
132,44,"management","married",NA,0,2724,0,0,"cellular",28,"dec",1,-1,0,NA,"14:48:36","15:03:29",1
133,61,"management","married","tertiary",0,5157,0,0,"cellular",13,"mar",1,-1,0,NA,"14:49:47","14:56:59",0
134,37,"technician","divorced","tertiary",0,1762,1,0,"cellular",16,"apr",1,317,1,"failure","15:20:49","15:25:58",0
135,56,"retired","married","secondary",0,343,0,1,"cellular",9,"jul",1,-1,0,NA,"12:13:08","12:14:25",0
136,46,"admin.","married","secondary",0,368,0,0,"cellular",20,"aug",1,90,4,"other","13:37:21","13:42:14",1
137,39,"management","divorced","tertiary",0,1968,0,0,"cellular",21,"nov",1,-1,0,NA,"14:54:56","15:05:44",1
138,27,"services","single","secondary",0,302,0,0,"cellular",3,"jul",1,-1,0,NA,"11:43:28","11:46:51",1
139,33,"blue-collar","single","primary",0,60,1,0,"cellular",14,"may",1,290,2,"failure","14:36:30","14:37:44",0
140,52,"technician","married","tertiary",0,0,0,0,"cellular",9,"aug",3,94,4,"success","16:32:21","16:34:46",0
141,45,"blue-collar","married","secondary",0,3092,1,1,"cellular",12,"may",2,-1,0,NA,"11:53:00","11:56:00",0
142,30,"unemployed","single","secondary",0,1058,0,0,"cellular",4,"feb",1,-1,0,NA,"10:40:58","10:49:33",0
143,46,"services","married","secondary",0,53,0,1,"cellular",28,"jul",3,-1,0,NA,"14:48:33","14:49:04",0
144,32,"services","single","secondary",0,-402,1,0,"cellular",17,"apr",1,-1,0,NA,"14:38:19","14:40:34",0
145,62,"entrepreneur","married","secondary",0,3904,0,0,"telephone",29,"jan",2,-1,0,NA,"15:27:45","15:34:28",1
146,24,"student","single","secondary",0,1123,0,0,"cellular",13,"jul",1,412,1,"other","11:54:26","12:02:21",1
147,47,"management","single","tertiary",0,159,0,0,"telephone",29,"oct",3,155,3,"other","16:29:33","16:33:13",1
148,32,"blue-collar","single","secondary",0,5,1,1,NA,8,"may",1,-1,0,NA,"13:07:31","13:09:45",0
149,38,"blue-collar","married","primary",0,3289,0,0,NA,9,"jun",2,-1,0,NA,"13:51:31","14:00:44",0
150,36,"technician","single","tertiary",0,391,1,0,"cellular",15,"may",1,350,8,"failure","10:01:23","10:04:28",0
151,57,"management","divorced",NA,0,854,0,0,"cellular",27,"aug",4,92,1,"failure","10:43:06","10:54:46",1
152,73,"retired","divorced","secondary",0,7111,1,0,"cellular",12,"oct",1,-1,0,NA,"10:02:40","10:05:06",1
153,55,"technician","divorced","tertiary",0,0,1,0,NA,30,"may",1,-1,0,NA,"12:47:28","12:51:22",0
154,57,"blue-collar","married","primary",0,3109,0,0,"cellular",2,"jun",2,-1,0,NA,"15:48:27","15:56:29",1
155,25,"unemployed","single","primary",0,129,0,0,"cellular",12,"apr",3,-1,0,NA,"09:58:20","10:01:16",1
156,62,"retired","married","secondary",0,569,0,0,"cellular",4,"aug",1,1,8,"success","17:08:06","17:12:54",1
157,45,"technician","married","secondary",0,4466,1,0,NA,3,"jun",1,-1,0,NA,"13:59:32","14:01:22",0
158,56,"blue-collar","married","secondary",0,1521,1,1,"cellular",21,"nov",2,179,3,"other","17:24:04","17:24:23",0
159,33,"management","single","tertiary",0,8038,1,0,"cellular",19,"nov",1,-1,0,NA,"09:40:58","09:41:58",0
160,45,"blue-collar","single","primary",0,116,0,0,NA,13,"apr",1,-1,0,NA,"13:49:02","13:51:04",1
161,63,"blue-collar","married","secondary",0,641,0,0,"cellular",27,"may",2,-1,0,NA,"17:50:43","17:57:40",1
162,57,"retired","married","secondary",0,2020,0,0,NA,19,"jun",4,-1,0,NA,"16:58:34","17:00:07",0
163,60,"retired","married","secondary",0,208,0,0,"cellular",20,"aug",4,-1,0,NA,"09:16:18","09:17:28",0
164,61,"self-employed","divorced","tertiary",0,52587,0,0,"cellular",15,"feb",3,189,1,"success","16:53:39","17:00:13",1
165,56,"blue-collar","married","secondary",0,2561,0,0,NA,20,"jun",6,-1,0,NA,"13:03:46","13:03:59",0
166,26,"blue-collar","single","secondary",0,82,1,0,NA,9,"may",1,-1,0,NA,"10:04:16","10:15:10",1
167,58,"unemployed","divorced","secondary",0,729,0,1,"cellular",9,"feb",2,-1,0,NA,"17:48:25","17:49:25",0
168,46,"services","married","secondary",0,273,0,0,"cellular",22,"aug",2,-1,0,NA,"10:21:06","10:30:31",1
169,28,"management","single","secondary",0,2840,0,0,"cellular",20,"apr",5,-1,0,NA,"10:14:42","10:18:29",1
170,57,"technician","married","secondary",0,253,0,1,NA,3,"jul",3,-1,0,NA,"16:38:41","16:42:31",0
171,36,"technician","single","secondary",0,2921,0,0,"telephone",31,"jul",7,-1,0,NA,"10:46:54","10:47:49",0
172,44,"blue-collar","married","secondary",0,16178,1,0,"cellular",21,"nov",1,-1,0,NA,"13:55:29","14:00:26",0
173,54,"services","divorced","secondary",0,0,0,0,"cellular",18,"mar",1,290,3,"success","09:10:43","09:16:45",1
174,38,"technician","married","secondary",0,557,1,0,"cellular",16,"nov",4,-1,0,NA,"11:41:55","12:07:51",1
175,34,"management","single","tertiary",0,4348,1,0,"cellular",28,"aug",8,-1,0,NA,"09:34:44","09:40:57",0
176,27,"services","single","secondary",0,683,1,0,NA,9,"may",3,-1,0,NA,"11:14:40","11:15:24",0
177,29,"self-employed","single","tertiary",0,1579,0,0,"cellular",13,"oct",1,92,5,"success","10:19:56","10:23:06",1
178,31,"blue-collar","married","tertiary",0,2827,1,0,NA,8,"may",3,-1,0,NA,"09:18:31","09:22:29",0
179,50,"technician","divorced","secondary",0,0,0,0,"cellular",29,"sep",1,120,2,"failure","09:30:25","09:33:04",1
180,60,"retired","married","tertiary",0,108,0,0,"cellular",26,"aug",1,-1,0,NA,"11:56:00","12:06:24",1
181,32,"services","married","secondary",0,243,1,1,NA,6,"may",1,-1,0,NA,"14:49:11","14:51:35",0
182,36,"services","married","secondary",0,-27,1,1,"cellular",7,"jul",4,-1,0,NA,"12:12:43","12:15:14",0
183,45,"admin.","married","secondary",0,205,0,0,"cellular",4,"may",1,90,2,"success","17:21:58","17:31:10",1
184,40,"technician","divorced","tertiary",0,0,0,0,NA,17,"jun",1,-1,0,NA,"11:05:32","11:14:14",1
185,38,"technician","married","secondary",0,497,0,0,NA,14,"apr",1,-1,0,NA,"10:46:03","10:48:56",1
186,30,"management","single","tertiary",0,985,1,0,"cellular",25,"oct",1,94,2,"success","12:09:48","12:14:52",1
187,31,"management","married","tertiary",0,3739,0,0,"cellular",11,"aug",3,-1,0,NA,"10:10:02","10:11:59",0
188,28,"management","single","tertiary",0,6784,0,0,"cellular",1,"oct",1,115,3,"other","14:02:32","14:10:54",1
189,49,"blue-collar","divorced","primary",0,-9,1,1,NA,5,"may",1,-1,0,NA,"16:54:35","17:01:04",0
190,34,"self-employed","married","tertiary",0,0,0,0,"cellular",28,"aug",11,-1,0,NA,"11:25:10","11:37:20",1
191,51,"blue-collar","divorced","secondary",0,113,0,0,"cellular",15,"may",3,-1,0,NA,"09:38:11","09:39:22",0
192,35,"unemployed","divorced","primary",0,118,0,0,NA,20,"jun",4,-1,0,NA,"16:57:51","16:58:03",0
193,41,"student","single","secondary",0,595,1,0,NA,18,"sep",1,107,2,"success","14:43:39","14:44:01",0
194,49,"housemaid","married","primary",0,0,0,0,"telephone",9,"jul",1,-1,0,NA,"10:35:31","10:37:17",0
195,33,"management","single","tertiary",0,3143,0,0,"cellular",29,"jun",2,-1,0,NA,"16:01:11","16:08:12",1
196,53,"admin.","married","secondary",0,53,1,0,"cellular",18,"may",1,-1,0,NA,"11:51:17","11:57:44",1
197,45,"management","married","tertiary",0,1447,1,1,"cellular",7,"jul",2,-1,0,NA,"17:49:12","17:56:53",0
198,36,"self-employed","divorced","tertiary",0,6385,1,0,"cellular",21,"nov",2,-1,0,NA,"13:21:55","13:23:05",0
199,43,"management","married","tertiary",0,3186,0,0,"cellular",16,"nov",1,88,1,"failure","15:07:14","15:13:34",1
200,31,"blue-collar","married","primary",0,290,1,0,"cellular",15,"may",1,291,3,"failure","12:06:11","12:08:39",0
201,56,"blue-collar","married","primary",0,8163,0,0,"cellular",14,"aug",4,-1,0,NA,"10:49:49","11:10:20",1
202,48,"admin.","married","secondary",0,13551,0,0,NA,11,"jun",3,-1,0,NA,"09:23:19","09:24:48",0
203,40,"technician","single","tertiary",0,431,0,0,"cellular",7,"jul",2,-1,0,NA,"17:11:55","17:14:55",1
204,60,"admin.","married","secondary",0,711,0,0,"cellular",12,"aug",4,-1,0,NA,"11:28:17","11:34:12",0
205,45,"admin.","married","secondary",0,0,0,0,"cellular",14,"aug",2,-1,0,NA,"09:28:25","09:30:18",0
206,45,"technician","single",NA,0,7108,1,1,NA,30,"may",3,-1,0,NA,"13:22:02","13:42:14",0
207,55,"technician","divorced","secondary",1,4,0,0,"cellular",28,"jan",1,-1,0,NA,"15:22:04","15:39:32",1
208,41,"blue-collar","married","primary",0,3658,1,0,"cellular",9,"apr",1,330,1,"failure","15:06:29","15:10:57",0
209,46,"management","married","tertiary",0,699,0,0,"cellular",30,"apr",1,87,1,"failure","13:49:36","14:05:46",1
210,41,"entrepreneur","married","secondary",0,8491,1,0,"cellular",18,"nov",1,-1,0,NA,"11:27:47","11:43:16",1
211,51,"admin.","married","secondary",0,423,1,1,"cellular",16,"jul",5,183,2,"failure","09:05:35","09:06:59",0
212,55,"technician","divorced","tertiary",0,0,0,0,"cellular",17,"nov",2,91,1,"success","09:38:42","09:40:56",1
213,34,"services","married","secondary",0,790,1,0,"cellular",20,"apr",2,350,1,"failure","13:15:22","13:25:01",0
214,40,"admin.","married","secondary",0,341,0,0,"cellular",31,"jul",5,-1,0,NA,"12:18:41","12:37:43",1
215,31,"unemployed","single","secondary",0,582,1,0,"cellular",5,"jun",2,-1,0,NA,"14:53:34","15:02:42",1
216,32,"management","single","tertiary",0,623,0,0,"cellular",6,"jul",3,194,2,"failure","10:53:19","10:58:54",1
217,37,"services","single","secondary",0,1045,0,0,"cellular",4,"feb",1,-1,0,NA,"13:33:29","13:38:30",0
218,31,"services","married","secondary",0,0,1,0,"cellular",29,"jan",2,-1,0,NA,"16:39:03","16:42:47",0
219,56,"retired","married","tertiary",0,281,0,0,"cellular",3,"mar",2,-1,0,NA,"17:26:47","17:28:23",1
220,26,"blue-collar","single","primary",0,-295,1,0,"cellular",6,"may",1,-1,0,NA,"09:51:59","09:54:17",0
221,45,"management","married","tertiary",0,160,0,0,"cellular",10,"nov",2,194,1,"success","11:56:01","11:59:03",1
222,32,"management","married","secondary",0,134,1,1,"cellular",15,"may",3,-1,0,NA,"11:52:39","12:01:31",1
223,41,"management","married","tertiary",0,472,1,0,"cellular",10,"jul",1,-1,0,NA,"09:44:38","09:57:41",0
224,28,"blue-collar","married","secondary",0,-95,1,0,NA,13,"may",1,-1,0,NA,"16:57:01","17:00:21",0
225,42,"blue-collar","married","secondary",0,0,1,0,"cellular",30,"jan",2,-1,0,NA,"12:29:50","12:31:12",0
226,46,"technician","married","secondary",0,179,0,1,NA,18,"jun",1,-1,0,NA,"17:06:35","17:08:44",0
227,55,"retired","divorced","tertiary",0,0,0,0,"cellular",18,"may",1,370,1,"success","14:07:10","14:17:26",1
228,26,"student","single","tertiary",0,641,1,0,"cellular",15,"may",1,368,1,"failure","17:04:03","17:04:58",0
229,29,"management","single","tertiary",0,3041,1,0,"cellular",8,"may",3,-1,0,NA,"09:04:51","09:14:57",1
230,40,"management","divorced","tertiary",0,502,1,0,"cellular",3,"feb",4,270,3,"other","13:22:49","13:27:16",0
231,29,"management","single","tertiary",0,2531,0,0,"cellular",19,"aug",1,-1,0,NA,"12:09:37","12:20:11",1
232,33,"technician","married","secondary",0,218,1,1,"cellular",10,"aug",1,161,4,"failure","15:57:04","15:59:46",0
233,43,"technician","single",NA,0,11115,0,0,"cellular",23,"oct",1,74,2,"success","15:38:46","15:46:42",1
234,31,"technician","married","secondary",0,-119,1,0,"cellular",18,"may",5,-1,0,NA,"14:50:50","14:50:59",0
235,27,"technician","single","secondary",0,158,0,0,NA,1,"jul",2,-1,0,NA,"13:09:51","13:20:41",1
236,40,"entrepreneur","married","tertiary",0,70,0,0,"cellular",20,"nov",1,-1,0,NA,"14:24:29","14:25:26",0
